Iteraciones    	 Bisección     	     Regula_Falsi   	   Fixedpoint     	      Newton_Rapshon   
1	1.2891137017892742e-02	2.7634948387457857e-02	1.6949847879039123e-01	2.2170554459257801e-03
2	8.5819749280317978e-02	6.0498025594363600e-03	1.5282606601568294e-01	5.1034819453566351e-06
3	3.6464306131212619e-02	1.3247172635841382e-03	1.3810442336267034e-01	3.7833330184236309e-10
4	1.1786584556659940e-02	2.9008628202280051e-04	1.2503930578062264e-01	0.0000000000000000e+00
5	5.5227623061640042e-04	6.3523531872238467e-05	1.1339528289188593e-01	0.0000000000000000e+00
6	5.6171541630217698e-03	1.3910299109005571e-05	1.0298075986447205e-01	0.0000000000000000e+00
7	2.5324389662026848e-03	3.0458462933963934e-06	9.3637581011841206e-02	0.0000000000000000e+00
8	9.9008136779314216e-04	6.6671462608455222e-07	8.5233607029906025e-02	0.0000000000000000e+00
9	2.1890256858837084e-04	1.4572490041445187e-07	7.7657285782515795e-02	0.0000000000000000e+00
10	1.6668683101401480e-04	3.1636929131670598e-08	7.0813597449946294e-02	0.0000000000000000e+00
11	2.6107868787178015e-05	6.6535865281759448e-09	6.4620970393158964e-02	0.0000000000000000e+00
12	7.0289481113418396e-05	1.1826548986956195e-09	5.9008897326638450e-02	0.0000000000000000e+00
13	2.2090806163120190e-05	1.5390251483846915e-11	5.3916066268995179e-02	0.0000000000000000e+00
14	2.0085313120289126e-06	0.0000000000000000e+00	4.9288876254786174e-02	0.0000000000000000e+00
15	1.0041137425545638e-05	0.0000000000000000e+00	4.5080244960491823e-02	0.0000000000000000e+00
16	4.0163030567583631e-06	0.0000000000000000e+00	4.1248640809878993e-02	0.0000000000000000e+00
17	1.0038858723647252e-06	0.0000000000000000e+00	3.7757289827386999e-02	0.0000000000000000e+00
18	5.0232271983209380e-07	0.0000000000000000e+00	3.4573520052261983e-02	0.0000000000000000e+00
19	2.5078157626631565e-07	0.0000000000000000e+00	3.1668215352594703e-02	0.0000000000000000e+00
20	1.2577057178288908e-07	0.0000000000000000e+00	2.9015357065615217e-02	0.0000000000000000e+00
21	6.2505502241713290e-08	0.0000000000000000e+00	2.6591636760059434e-02	0.0000000000000000e+00
22	3.1632534770587893e-08	0.0000000000000000e+00	2.4376127059010443e-02	0.0000000000000000e+00
23	1.5436483735562699e-08	0.0000000000000000e+00	2.2350000216405170e-02	0.0000000000000000e+00
24	8.0980255175125954e-09	0.0000000000000000e+00	2.0496286244980410e-02	0.0000000000000000e+00
25	3.6692291090250516e-09	0.0000000000000000e+00	1.8799664016473372e-02	0.0000000000000000e+00
26	2.2143982042437723e-09	0.0000000000000000e+00	1.7246280017603817e-02	0.0000000000000000e+00
27	7.2741545239063971e-10	0.0000000000000000e+00	1.5823590435793719e-02	0.0000000000000000e+00
28	0.0000000000000000e+00	0.0000000000000000e+00	1.4520223031447878e-02	0.0000000000000000e+00
29	0.0000000000000000e+00	0.0000000000000000e+00	1.3325855876875074e-02	0.0000000000000000e+00
30	0.0000000000000000e+00	0.0000000000000000e+00	1.2231110541508225e-02	0.0000000000000000e+00
31	0.0000000000000000e+00	0.0000000000000000e+00	1.1227457706076943e-02	0.0000000000000000e+00
32	0.0000000000000000e+00	0.0000000000000000e+00	1.0307133515466034e-02	0.0000000000000000e+00
33	0.0000000000000000e+00	0.0000000000000000e+00	9.4630652469641276e-03	0.0000000000000000e+00
34	0.0000000000000000e+00	0.0000000000000000e+00	8.6888050897292110e-03	0.0000000000000000e+00
35	0.0000000000000000e+00	0.0000000000000000e+00	7.9784710120645603e-03	0.0000000000000000e+00
36	0.0000000000000000e+00	0.0000000000000000e+00	7.3266938429786491e-03	0.0000000000000000e+00
37	0.0000000000000000e+00	0.0000000000000000e+00	6.7285698193610905e-03	0.0000000000000000e+00
38	0.0000000000000000e+00	0.0000000000000000e+00	6.1796179545878654e-03	0.0000000000000000e+00
39	0.0000000000000000e+00	0.0000000000000000e+00	5.6757416721923328e-03	0.0000000000000000e+00
40	0.0000000000000000e+00	0.0000000000000000e+00	5.2131942223581935e-03	0.0000000000000000e+00
41	0.0000000000000000e+00	0.0000000000000000e+00	4.7885474618062510e-03	0.0000000000000000e+00
